Country Name,Country Code,Series Name,Series Code,YR2023
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8840915
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,9256800
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,11498794
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,11631642
Afghanistan,AFG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,431253
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,580450
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,67339
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,43502
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20920159
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,21319695
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42239854
Afghanistan,AFG,Urban population,SP.URB.TOTL,11376460
Africa Eastern and Southern,AFE,"Population ages 0-14, female",SP.POP.0014.FE.IN,149554415
Africa Eastern and Southern,AFE,"Population ages 0-14, male",SP.POP.0014.MA.IN,152423445
Africa Eastern and Southern,AFE,"Population ages 15-64, female",SP.POP.1564.FE.IN,209862523
Africa Eastern and Southern,AFE,"Population ages 15-64, male",SP.POP.1564.MA.IN,203926710
Africa Eastern and Southern,AFE,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,9774830
Africa Eastern and Southern,AFE,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,13570134
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,1968846
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1102378
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,372987069
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,366124984
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739112053
Africa Eastern and Southern,AFE,Urban population,SP.URB.TOTL,283341348
Africa Western and Central,AFW,"Population ages 0-14, female",SP.POP.0014.FE.IN,105639818
Africa Western and Central,AFW,"Population ages 0-14, male",SP.POP.0014.MA.IN,108426217
Africa Western and Central,AFW,"Population ages 15-64, female",SP.POP.1564.FE.IN,136540239
Africa Western and Central,AFW,"Population ages 15-64, male",SP.POP.1564.MA.IN,137678146
Africa Western and Central,AFW,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,6698956
Africa Western and Central,AFW,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7806140
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,934638
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,705335
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,249986197
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,252803314
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,502789511
Africa Western and Central,AFW,Urban population,SP.URB.TOTL,249561635
Albania,ALB,"Population ages 0-14, female",SP.POP.0014.FE.IN,217189
Albania,ALB,"Population ages 0-14, male",SP.POP.0014.MA.IN,226065
Albania,ALB,"Population ages 15-64, female",SP.POP.1564.FE.IN,925009
Albania,ALB,"Population ages 15-64, male",SP.POP.1564.MA.IN,926226
Albania,ALB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,226627
Albania,ALB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,247149
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55051
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,46084
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1389347
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1378918
Albania,ALB,"Population, total",SP.POP.TOTL,2768265
Albania,ALB,Urban population,SP.URB.TOTL,1788382
Algeria,DZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,6796660
Algeria,DZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,7090076
Algeria,DZA,"Population ages 15-64, female",SP.POP.1564.FE.IN,14027444
Algeria,DZA,"Population ages 15-64, male",SP.POP.1564.MA.IN,14678397
Algeria,DZA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1448688
Algeria,DZA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1565215
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,268893
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,213911
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22389320
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23217161
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,Urban population,SP.URB.TOTL,34327085
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,5758
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6122
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,14548
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,14109
American Samoa,ASM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1454
American Samoa,ASM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1924
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,212
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,118
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,22230
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,21685
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,Urban population,SP.URB.TOTL,38308
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,4873
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,5074
Andorra,AND,"Population ages 15-64, female",SP.POP.1564.FE.IN,27883
Andorra,AND,"Population ages 15-64, male",SP.POP.1564.MA.IN,29806
Andorra,AND,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,6024
Andorra,AND,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,6428
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1776
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1178
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,39185
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,40903
Andorra,AND,"Population, total",SP.POP.TOTL,80088
Andorra,AND,Urban population,SP.URB.TOTL,70296
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,8173074
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,8264619
Angola,AGO,"Population ages 15-64, female",SP.POP.1564.FE.IN,9829461
Angola,AGO,"Population ages 15-64, male",SP.POP.1564.MA.IN,9454272
Angola,AGO,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,416654
Angola,AGO,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,546123
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,73373
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,42668
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,18548657
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,18135546
Angola,AGO,"Population, total",SP.POP.TOTL,36684202
Angola,AGO,Urban population,SP.URB.TOTL,25197645
Antigua and Barbuda,ATG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8448
Antigua and Barbuda,ATG,"Population ages 0-14, male",SP.POP.0014.MA.IN,8700
Antigua and Barbuda,ATG,"Population ages 15-64, female",SP.POP.1564.FE.IN,34680
Antigua and Barbuda,ATG,"Population ages 15-64, male",SP.POP.1564.MA.IN,31985
Antigua and Barbuda,ATG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,4365
Antigua and Barbuda,ATG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,6118
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1251
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,670
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,49246
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,45051
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94298
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,22945
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,75518835
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,78949065
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,141327341
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,155441217
Arab World,ARB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,10004275
Arab World,ARB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,12024832
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1770315
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1127337
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,228871007
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,244394554
Arab World,ARB,"Population, total",SP.POP.TOTL,473265558
Arab World,ARB,Urban population,SP.URB.TOTL,283143014
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,5147413
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5428320
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,15031382
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,15302109
Argentina,ARG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2301760
Argentina,ARG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,3308268
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,931010
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,419963
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,23487063
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,23032189
Argentina,ARG,"Population, total",SP.POP.TOTL,46519252
Argentina,ARG,Urban population,SP.URB.TOTL,43013096
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,269347
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,297110
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1008398
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,822557
Armenia,ARM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,129424
Armenia,ARM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,251135
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,61817
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,16438
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1528880
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1249091
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,Urban population,SP.URB.TOTL,1770650
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,8178
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,8520
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37696
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,33968
Aruba,ABW,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,7564
Aruba,ABW,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,10350
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1736
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,854
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56225
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50052
Aruba,ABW,"Population, total",SP.POP.TOTL,106277
Aruba,ABW,Urban population,SP.URB.TOTL,47032
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2297266
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2423650
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,8519736
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,8491047
Australia,AUS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2124766
Australia,AUS,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,2400505
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,658415
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,500474
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13217507
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13039463
Australia,AUS,"Population, total",SP.POP.TOTL,26256970
